C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
2, 2, 2, 2, 2135750, 21.026311, 1890846, 29, 4.14813
2, 2, 2, 2, 1349344, 20.363827, 1195320, 18, 2.71326
2, 2, 2, 2, 177250, 17.435426, 155257, 2, 0.350168
2, 2, 2, 2, 23851, 14.541762, 18401, 0, 0.0456512
2, 2, 2, 2, 98412, 16.586547, 84841, 1, 0.196546
2, 2, 2, 2, 3139361, 21.582040, 2778638, 43, 6.35108
2, 2, 2, 2, 307662, 18.230987, 270519, 4, 0.623677
2, 2, 2, 2, 1242659, 20.244999, 1099703, 17, 2.41335
2, 2, 2, 2, 301403, 18.201334, 265522, 4, 0.594129
2, 2, 2, 2, 1686326, 20.685452, 1493284, 23, 3.31557
2, 2, 2, 2, 1063161, 20.019929, 939961, 14, 2.02101
2, 2, 2, 2, 315124, 18.265560, 277214, 4, 0.618649
2, 2, 2, 2, 550948, 19.071557, 487353, 7, 1.07291
2, 2, 2, 2, 301396, 18.201301, 265100, 4, 0.576261
2, 2, 2, 2, 1466820, 20.484260, 1298915, 20, 2.8589
2, 2, 2, 2, 924291, 19.817988, 817689, 12, 1.76258
2, 2, 2, 2, 1776046, 20.760238, 1572403, 24, 3.49943
2, 2, 2, 2, 9184, 13.164907, 5760, 0, 0.0159471
2, 2, 2, 2, 1629771, 20.636238, 1443710, 22, 3.08717
2, 2, 2, 2, 1392609, 20.409359, 1232474, 19, 2.65943
2, 2, 2, 3, 1553375, 20.566975, 1478417, 21, 5.69401
2, 2, 2, 3, 732281, 19.482038, 696257, 10, 2.69141
2, 2, 2, 3, 929424, 19.825977, 884938, 12, 3.44209
2, 2, 2, 3, 949726, 19.857152, 903497, 13, 3.62926
2, 2, 2, 3, 549137, 19.066807, 522061, 7, 2.03232
2, 2, 2, 3, 80525, 16.297149, 75297, 1, 0.30484
2, 2, 2, 3, 1980077, 20.917125, 1885375, 27, 7.28982
2, 2, 2, 3, 1512748, 20.528740, 1440881, 20, 5.64289
2, 2, 2, 3, 3148574, 21.586267, 2998649, 43, 11.5823
2, 2, 2, 3, 241986, 17.884564, 228951, 3, 0.892294
2, 2, 2, 3, 217441, 17.730264, 207147, 2, 0.823739
2, 2, 2, 3, 1109347, 20.081279, 1054974, 15, 4.15387
2, 2, 2, 3, 1107415, 20.078765, 1053691, 15, 4.09518
2, 2, 2, 3, 927990, 19.823750, 883626, 12, 3.43429
2, 2, 2, 3, 666492, 19.346228, 633337, 9, 2.41468
2, 2, 2, 3, 2942520, 21.488621, 2802072, 40, 10.8542
2, 2, 2, 3, 60934, 15.894960, 57629, 0, 0.224773
2, 2, 2, 3, 3296497, 21.652502, 3140354, 45, 12.3182
2, 2, 2, 3, 2095348, 20.998758, 1995518, 28, 8.05724
2, 2, 2, 3, 420806, 18.682796, 400222, 5, 1.54881
2, 2, 2, 3, 321704, 18.295374, 304859, 4, 1.15051
2, 2, 2, 3, 1758790, 20.746152, 1673962, 24, 6.47738
2, 2, 2, 3, 163146, 17.315804, 154019, 2, 0.589366
2, 2, 2, 3, 218303, 17.735972, 207904, 3, 0.820029
2, 2, 2, 3, 427926, 18.707002, 407488, 5, 1.58616
2, 2, 2, 3, 947539, 19.853826, 902067, 13, 3.47271
2, 2, 2, 3, 301793, 18.203200, 286007, 4, 1.17854
2, 2, 2, 3, 1181711, 20.172446, 1123809, 16, 4.37197
2, 2, 2, 3, 513285, 18.969401, 487825, 7, 1.83329
2, 2, 2, 3, 1969972, 20.909744, 1875950, 27, 7.47074
3, 3, 3, 0, 661212194, 29.300538, 257685210, 37, 405.936
3, 3, 3, 0, 73988974, 26.140807, 28250486, 4, 45.0062
3, 3, 3, 0, 311821157, 28.216144, 121366113, 17, 241.944
3, 3, 3, 0, 215742104, 27.684733, 83625281, 12, 132.841
3, 3, 3, 0, 169199297, 27.334148, 65555778, 9, 111.475
3, 3, 3, 0, 234463393, 27.804787, 90887113, 13, 142.977
3, 3, 3, 0, 488554455, 28.863944, 190413861, 27, 307.012
3, 3, 3, 0, 335777178, 28.322929, 131115657, 19, 256.59
1, 1, 1, 0, 4592, 12.164907, 1861, 15, 0.00551724
3, 3, 3, 0, 107514548, 26.679957, 41580911, 6, 77.4657
1, 1, 1, 0, 2755, 11.427837, 1197, 9, 0.00333691
1, 1, 1, 0, 1028, 10.005625, 424, 3, 0.00114965
1, 1, 1, 0, 5447, 12.411246, 2216, 18, 0.00653291
1, 1, 1, 0, 630, 9.299208, 248, 2, 0.000736475
1, 1, 1, 0, 4434, 12.114393, 1848, 14, 0.00531769
1, 1, 1, 0, 3065, 11.581671, 1247, 10, 0.00367808
1, 1, 1, 0, 2583, 11.334832, 1081, 8, 0.00300193
1, 1, 1, 0, 414, 8.693487, 176, 1, 0.000427246
1, 1, 1, 0, 14994, 13.872098, 6027, 49, 0.0177286
1, 1, 1, 0, 9145, 13.158767, 3880, 30, 0.0110147
1, 1, 1, 0, 11207, 13.452113, 4723, 37, 0.0134826
1, 1, 1, 0, 4856, 12.245553, 1990, 16, 0.00583625
1, 1, 1, 0, 5291, 12.369325, 2057, 17, 0.00621772
1, 1, 1, 0, 10389, 13.342769, 4290, 34, 0.0124378
1, 1, 1, 0, 6803, 12.731955, 2736, 22, 0.00802255
1, 1, 1, 0, 1907, 10.897089, 768, 6, 0.00221539
1, 1, 1, 0, 222, 7.794416, 95, 0, 9.63211e-05
1, 1, 1, 0, 1569, 10.615630, 668, 5, 0.00186229
1, 1, 1, 0, 6480, 12.661778, 2792, 21, 0.00776172
1, 1, 1, 0, 2695, 11.396070, 1126, 8, 0.00305748
1, 1, 1, 0, 3667, 11.840385, 1495, 12, 0.00437832
1, 1, 1, 1, 1768, 10.787903, 1049, 5, 0.0029707
1, 1, 1, 1, 1098, 10.100662, 603, 3, 0.00171947
1, 1, 1, 1, 3177, 11.633449, 1580, 10, 0.00601554
1, 1, 1, 1, 4538, 12.147841, 2458, 15, 0.0083611
1, 1, 1, 1, 2682, 11.389094, 1486, 9, 0.00558901
1, 1, 1, 1, 1220, 10.252665, 620, 4, 0.00242662
1, 1, 1, 1, 23905, 14.545025, 13077, 80, 0.044265
1, 1, 1, 1, 1879, 10.875749, 1103, 6, 0.00354958
1, 1, 1, 1, 3845, 11.908768, 2096, 12, 0.00770259
1, 1, 1, 1, 3616, 11.820179, 1938, 12, 0.00706172
1, 1, 1, 1, 7294, 12.832494, 3840, 24, 0.0136197
1, 1, 1, 1, 19961, 14.284896, 10730, 66, 0.0354908
1, 1, 1, 1, 3467, 11.759472, 1830, 11, 0.00657892
1, 1, 1, 1, 4887, 12.254733, 2566, 16, 0.00870919
1, 1, 1, 1, 1232, 10.266787, 650, 4, 0.00236487
1, 1, 1, 1, 489, 8.933691, 259, 1, 0.00160456
1, 1, 1, 1, 6657, 12.700656, 3598, 22, 0.012284
1, 1, 1, 1, 8995, 13.134908, 4869, 30, 0.0160322
1, 1, 1, 1, 6115, 12.578137, 3365, 20, 0.0124495
1, 1, 1, 1, 4310, 12.073472, 2390, 14, 0.00773668
1, 1, 1, 1, 614, 9.262095, 338, 2, 0.00117874
1, 1, 1, 1, 3667, 11.840385, 1906, 12, 0.00632834
1, 1, 1, 1, 51, 5.672425, 16, 0, 4.98295e-05
1, 1, 1, 1, 5259, 12.360573, 2780, 17, 0.00933003
1, 1, 1, 1, 10636, 13.376668, 5891, 35, 0.0211122
1, 1, 1, 1, 3205, 11.646109, 1691, 10, 0.00564384
1, 1, 1, 1, 667, 9.381543, 397, 2, 0.00126171
1, 1, 1, 1, 1331, 10.378295, 702, 4, 0.00248909
1, 1, 1, 1, 6871, 12.746304, 3648, 23, 0.0137718
1, 1, 1, 1, 151, 7.238405, 72, 0, 0.000204086
1, 1, 1, 2, 1216, 10.247928, 767, 4, 0.00730824
1, 1, 1, 2, 656, 9.357552, 407, 2, 0.00211644
1, 1, 1, 2, 666, 9.379378, 365, 2, 0.00196671
1, 1, 1, 2, 9473, 13.209606, 5886, 32, 0.0385573
1, 1, 1, 2, 696, 9.442943, 461, 2, 0.00385141
1, 1, 1, 2, 630, 9.299208, 383, 2, 0.0103314
1, 1, 1, 2, 5701, 12.476999, 3627, 19, 0.0236599
1, 1, 1, 2, 2681, 11.388556, 1503, 9, 0.0118594
1, 1, 1, 2, 2423, 11.242579, 1746, 9, 0.0283928
1, 1, 1, 2, 1655, 10.692616, 981, 5, 0.00558925
1, 1, 1, 2, 7348, 12.843136, 4527, 25, 0.0384517
